actual,predicted,probability
1,1,0.6280475031118637
0,0,0.19806663753633458
0,0,0.1728073154454626
1,1,0.4908477962720806
0,0,0.2227310134345122
0,0,0.21593560217018584
1,1,0.49160594705935046
0,0,0.22379062040988834
0,1,0.26307488590990813
0,0,0.05615031018564092
0,0,0.036999039609658994
0,0,0.0326591332255404
0,0,0.22741422873331582
0,1,0.43817546157257786
0,0,0.1318378110601682
0,0,0.24642903289251916
0,0,0.09824076438664418
0,0,0.054530955306112544
0,0,0.1283799678848011
1,1,0.5765374328246781
0,0,0.21227774426881907
0,0,0.22611046240942048
0,1,0.5359882045073029
0,0,0.04844916769953459
0,1,0.27610260338441905
0,0,0.23464481622484684
0,0,0.16893187235580948
1,0,0.029518484659935316
1,0,0.07221215045477859
1,0,0.15186241636624417
0,0,0.22135725008133292
0,0,0.21641342082848206
0,0,0.23672307406388082
0,0,0.07180785195632261
1,1,0.30356333973991645
0,0,0.0870348435780841
0,0,0.2115109511154062
1,1,0.5061876535028191
1,0,0.04871164753632118
0,0,0.11652431784892829
1,1,0.3109348575745142
0,0,0.22530775164435235
0,0,0.21570381927586468
0,0,0.18820831050801926
1,0,0.24224230784968068
0,1,0.4439289092525016
1,1,0.4698803669857382
0,0,0.20687628225362578
0,0,0.04926167007427032
0,0,0.08012065863161469
1,0,0.014870088450170325
0,0,0.12513297398355197
0,0,0.13051017017815322
0,0,0.20637869894673438
1,1,0.4063087380527199
1,0,0.05135016543664771
0,0,0.2149229458673189
0,0,0.16102623192268736
1,1,0.3158441440340642
1,1,0.7674807103560559
1,0,0.0381579427706874
0,0,0.23825948168225056
1,1,0.44216485313672166
0,1,0.32731204890362814
0,0,0.2243407681229033
0,0,0.05813514338276628
0,0,0.01032749564864669
0,0,0.1880267390823557
1,1,0.5161973774632972
1,1,0.3789930965370325
1,1,0.3846106428008747
0,1,0.27230320793939533
0,0,0.18116930024162192
0,0,0.16381091361781203
0,0,0.0996054208961246
0,1,0.4492068686457861
0,0,0.04056742670288578
0,0,0.059546147486069144
1,1,0.4518825144969657
0,0,0.05404593448261029
0,0,0.24654775913001162
0,0,0.23234285641372965
1,0,0.24341628843488441
0,0,0.13090413967728198
0,0,0.18016908881310306
0,1,0.7614272038427635
0,0,0.19201671720768593
0,0,0.11321609470902601
0,0,0.10082830756115896
1,0,0.22501514184433177
1,1,0.5888761496677094
0,0,0.18149080554444402
0,0,0.23699043644254386
0,0,0.10702952870568126
0,0,0.19427544226327692
0,0,0.12051668902024053
1,0,0.09897764055234157
0,0,0.1796100492501121
0,1,0.2529587584389455
0,0,0.18761966188107998
1,1,0.5337080075472262
1,0,0.23772658422185347
0,0,0.18350685114314608
0,0,0.03690401309178859
0,1,0.4568062423463899
1,1,0.257376960782186
0,0,0.049248885012977195
0,0,0.2303914948205233
0,0,0.16353073189729708
0,0,0.18207012845912574
1,1,0.9152822809526571
1,1,0.5234363733941689
0,0,0.22896693107502464
0,0,0.0758506473298229
1,0,0.12229803355281897
1,0,0.048773162872139945
0,0,0.14426279262385158
1,0,0.11855393698111723
0,0,0.24355636738817485
0,0,0.14242973452762628
0,0,0.04749033636217099
0,0,0.04245823102238017
