actual,predicted,probability
1,1,0.8414276682570603
0,0,0.49623208763012977
0,0,0.4806746151131458
1,1,0.7423612797315782
0,0,0.5186980308837866
0,0,0.5191248957468488
1,1,0.7486041192923768
0,0,0.4744195965231607
0,1,0.6549957907818951
0,0,0.27235585626712583
0,0,0.16304968390312605
0,0,0.1758379004266806
0,0,0.5013955525994059
0,1,0.7593022468520825
0,0,0.40520010164610215
0,1,0.581507057425434
0,0,0.34469746959716835
0,0,0.2220829417110805
0,0,0.3676238761951473
1,1,0.8183395627308133
0,0,0.4582753608718423
0,0,0.48094131755562347
0,1,0.7579619036957638
0,0,0.22881415672132377
0,1,0.6010630507327777
0,1,0.5801823185045437
0,0,0.4828144232510713
1,0,0.2096896407286034
1,0,0.2995002209203765
1,1,0.5561166623892349
0,0,0.5297387829271037
0,0,0.5104219045258755
0,0,0.5046409517545667
0,0,0.31636862305320107
1,1,0.6321805736791832
0,0,0.320565892440125
0,0,0.5021142859443565
1,1,0.7925118930577904
1,0,0.20459228155278125
0,0,0.266773901581792
1,1,0.6065523996429302
0,0,0.5334264046421915
0,0,0.517950357456856
0,0,0.47421590849649015
1,0,0.5180517666870624
0,1,0.7685139785979381
1,1,0.8105341336803606
0,0,0.5357890930184445
0,0,0.199205700239324
0,0,0.35954700996836375
1,0,0.09122763794692286
0,0,0.2801534766069783
0,0,0.422724899183562
0,0,0.5222641064750178
1,1,0.7661238549597058
1,0,0.1969639178137688
0,0,0.4888285454942061
0,0,0.37696155976606727
1,1,0.6421950763253967
1,1,0.904721698308873
1,0,0.16772067382251546
0,1,0.5940417946008699
1,1,0.7406466487081712
0,1,0.5920555440256468
0,0,0.4807483832774117
0,0,0.19772364471011006
0,0,0.08414961755792634
0,0,0.44395297099008857
1,1,0.7096688706872855
1,1,0.6567141351338585
1,1,0.69332685137495
0,1,0.6537675307895843
0,0,0.35419041746178587
0,0,0.45875670700554777
0,0,0.3836966250904049
0,1,0.7339116882574513
0,0,0.19958678968281932
0,0,0.3614783269072838
1,1,0.7649067953269808
0,0,0.18067033887575806
0,1,0.6169246503882898
0,0,0.5280847078588762
1,1,0.5845469784160021
0,0,0.40625344601134505
0,0,0.45001495814440384
0,1,0.9014824537330699
0,0,0.4657138891939186
0,0,0.38384560295812775
0,0,0.3390738127200617
1,0,0.5199157619889438
1,1,0.8224500874098114
0,0,0.4819273044599027
0,1,0.5667903599475907
0,0,0.33014879303136274
0,0,0.4618081202487181
0,0,0.3731009138144327
1,0,0.3670398799732376
0,0,0.4150093171091685
0,0,0.5093487901080658
0,0,0.4677630903997031
1,1,0.7341939951142964
1,0,0.49232677795360974
0,0,0.4257474221883314
0,0,0.16832515060870237
0,1,0.7640133436252879
1,1,0.5492330950928362
0,0,0.22400797394933114
0,0,0.5197015325792588
0,0,0.45864676695761225
0,0,0.4613558050172315
1,1,0.9671280110356668
1,1,0.7947540983733621
0,0,0.49003155378819396
0,0,0.297248933630148
1,0,0.32463799132527327
1,0,0.1937941256732914
0,0,0.39008493681887935
1,0,0.3585372849796993
0,1,0.6245512289534331
0,0,0.4559758251488134
0,0,0.24161902453962864
0,0,0.1585285434420436
0,0,0.202532966192947
1,0,0.37984242295947296
0,0,0.512232928085489
0,0,0.20233425272892247
0,1,0.5449673559801731
0,0,0.4800301774177719
0,1,0.8479694160404659
0,0,0.4903701521200004
1,1,0.5618181144602921
1,0,0.5202562719092325
0,1,0.5771420462851069
0,0,0.5312551581715884
0,0,0.40561014957816754
0,0,0.27441491657317013
1,0,0.5252599534607552
1,1,0.7870798936233218
0,0,0.3608505755590659
1,1,0.6922540024778774
0,0,0.2835364273934125
0,0,0.39576881942284753
0,0,0.3824107940643777
0,0,0.026490739935792935
1,0,0.5160770010515684
0,0,0.3750989459935
0,0,0.5086771364128376
0,0,0.33799692994411346
0,1,0.6049704449890558
0,0,0.23389358503858632
0,0,0.46447436797951225
0,0,0.47302925194712825
0,1,0.841642900652601
0,1,0.567482622648812
0,0,0.5007168079858214
0,1,0.5787677435820163
0,0,0.1851546469740479
1,1,0.7216110941092265
0,0,0.5260841287277906
0,1,0.5436989396249096
0,0,0.4075174866937057
0,0,0.21091141092161694
1,0,0.5341904040016626
0,1,0.6574790231637185
0,1,0.5574468038376974
1,0,0.512065131556731
0,0,0.3725631891652435
0,0,0.5019063910787401
0,1,0.5881418195201495
0,0,0.42503423776920624
1,0,0.4112673400166902
0,1,0.5690810377536811
1,0,0.16404275576343666
0,0,0.3010633922029347
0,1,0.7415556134159342
1,1,0.8249169083954535
0,0,0.4034348701447123
0,0,0.4884363236170785
1,0,0.513297888336363
0,0,0.4974145989115528
1,1,0.5586009795706489
0,0,0.44183798726463036
0,0,0.47408058417230786
0,1,0.5879991259034987
0,0,0.5020845839283165
0,1,0.6062284299396355
0,0,0.44789760557044145
1,1,0.6894497427413104
0,0,0.48330419197688174
0,0,0.39793149235584796
1,0,0.5301448017540187
0,0,0.5301870460127492
0,0,0.3049766144204776
0,0,0.4941037662448064
0,1,0.5427721129925543
0,1,0.5929122325341826
0,0,0.5289276816345663
0,0,0.45637633001142774
0,0,0.31028302428169824
0,1,0.5927581299639867
0,0,0.46783796310321835
1,0,0.48277163944798657
0,0,0.4537662128436206
0,0,0.5247934285326235
0,0,0.45682572649563274
0,0,0.5252922869287318
0,1,0.6593492834337492
0,1,0.7221463834889851
0,0,0.4967168565477057
0,1,0.6134001789511414
0,0,0.49000623985750585
0,0,0.5062463264611624
0,0,0.4344543877204146
0,1,0.5761058160487212
0,1,0.5479493200874527
0,0,0.3114926352552101
0,0,0.49922716225122227
0,0,0.5033382766471218
0,0,0.5360713803381413
0,0,0.21953464752693658
0,1,0.5636717918357134
1,1,0.612434112679695
0,0,0.15367144520764392
0,0,0.42717069322655693
1,1,0.769719376317875
0,0,0.4520134772328921
0,0,0.22915952692059907
0,0,0.5334040836995931
0,0,0.515382415966259
1,0,0.4444861714098687
1,1,0.7891132685677312
0,0,0.5332282950148499
1,0,0.5246831366886229
0,0,0.30815302336520867
0,0,0.21960426667067764
0,1,0.79223711828162
1,0,0.4126441367701529
0,1,0.5486594773648387
0,0,0.530951728263099
0,0,0.4339871435422949
1,1,0.5448576033477325
0,0,0.2929868681521821
0,0,0.25533525686944897
0,0,0.47727122029848096
0,0,0.4362560623791101
0,0,0.5012096524326767
0,0,0.47329690837729627
0,1,0.712124316122446
0,0,0.31755470572058964
0,0,0.46586511155405647
0,0,0.3362641621695944
0,0,0.2893268526518767
0,0,0.3537632373418982
1,1,0.5561097893453376
0,0,0.1916036465864709
0,0,0.5258382029480603
0,1,0.6044592830259072
0,0,0.4662279680307268
1,1,0.8491387028220376
0,1,0.6586988852110782
0,0,0.478973785548125
0,0,0.17112067740907852
0,0,0.4157582089966729
0,0,0.5281523295557295
0,0,0.3130893389980191
0,0,0.298637835740212
1,0,0.38733953114709285
1,0,0.17946740036585412
0,0,0.3606152457660203
0,1,0.629827861906448
0,0,0.47398564089898765
1,1,0.7857093751566476
1,1,0.5473786258467056
0,0,0.25454851001583667
1,0,0.37770465027330646
1,1,0.8111472327117403
0,0,0.4790266442209139
1,1,0.8325829388591588
0,0,0.43114405078858686
0,0,0.500889009547693
0,1,0.5785285325520493
0,0,0.525601699086093
0,0,0.5196700393097493
0,0,0.41402862195496604
0,1,0.6106664300378176
0,0,0.4561689354776117
0,1,0.5609097089181503
0,0,0.34421928582044126
0,0,0.48439335241592474
0,0,0.45093316499528685
0,1,0.7771816122890475
1,1,0.6425036264517925
0,0,0.4069604289302733
0,0,0.3319348748629753
0,0,0.4215610480469463
0,0,0.5083912205652806
0,0,0.2622135260017804
0,0,0.06881317820076197
1,1,0.7707607042259188
1,1,0.8467986403104617
1,1,0.5736268885405633
0,0,0.32848397807149715
1,1,0.5714496453282408
1,0,0.2574633410044092
0,0,0.21504876010846585
0,0,0.4090860933702279
0,0,0.3282472589670718
0,0,0.49536987842104274
0,0,0.47860553797229055
0,1,0.572208416886391
0,0,0.4070335935410702
0,0,0.5335794993494151
0,1,0.6182649735319219
0,0,0.20231846926094452
0,0,0.41878793109618784
0,0,0.21380579017333146
0,0,0.435505465102357
0,0,0.20524989963489546
1,0,0.3511956183604341
0,0,0.4951628346092856
0,0,0.5130320044056107
0,0,0.22948379739837663
1,0,0.18642018189363904
0,0,0.12383482384831725
0,0,0.3700552979711905
0,0,0.4822646177338378
1,1,0.5877370535123257
0,1,0.6041223462321635
0,0,0.4608584648496973
1,0,0.37854520974215244
0,0,0.28829796513434636
1,0,0.15762401334826612
1,1,0.7729387798503062
0,0,0.41228063940851883
0,0,0.5161458208500768
0,1,0.5538911431941146
0,1,0.7265990385275336
1,0,0.5252470638370272
0,1,0.8347961501891932
0,1,0.6989443128189949
0,0,0.4024721996944628
0,1,0.5682370466884031
1,1,0.6746870442656397
0,0,0.2063109256476507
0,0,0.5040562971736443
0,0,0.42321228325888416
0,0,0.36442819499265056
0,0,0.4177225002020136
0,1,0.5949762654435857
0,0,0.5336328436283863
0,0,0.4206050175495077
0,1,0.5610413153020217
0,0,0.5262446522251828
1,0,0.52153423930019
1,1,0.7556447450402611
0,0,0.4718699129757147
0,0,0.43049258051542266
0,0,0.4924246821863706
0,0,0.5214211828391033
0,0,0.34388627945555506
0,0,0.4531834864142252
1,0,0.5087092757094395
0,0,0.3015298829105239
0,1,0.6931654068898276
1,1,0.5748644107719934
1,1,0.6011903829139564
0,0,0.5129474979752563
0,0,0.4451185757512011
0,1,0.5978525958271502
0,0,0.42934934151530435
0,0,0.5280228946745187
0,1,0.5619003611085017
0,1,0.5499391141031181
0,0,0.36468271491729476
1,1,0.7449377504757687
0,1,0.5920714337451508
0,1,0.7647751235528581
0,0,0.4755692503016285
0,0,0.41046165858025263
0,0,0.42297374085633865
0,0,0.42838930965097033
0,0,0.43964806618967683
0,0,0.20593953285500272
0,0,0.4987564817014391
1,1,0.7081891826954662
1,1,0.7731046413372274
0,0,0.21293774006784752
0,0,0.5179841759727649
0,0,0.37574523076934496
0,0,0.15226205494630934
0,1,0.7502160262166176
1,0,0.31358946191967524
0,1,0.8401979417856599
0,0,0.4561568186296838
0,0,0.22919124011461972
0,0,0.38439167562120913
0,0,0.47526406398618287
0,0,0.28313736873238
0,0,0.3459737151806831
0,1,0.6034678363470137
0,1,0.603078495656671
0,0,0.5206332090396262
1,0,0.3780461786290545
0,0,0.4462839047894759
0,0,0.5188317196814521
0,1,0.8594609588669855
1,1,0.5974857077850844
0,1,0.5593067500355283
0,0,0.4645454071046643
1,1,0.6851523912169624
1,0,0.42496650130812286
1,1,0.7890198370017267
0,0,0.4192534841006769
0,0,0.43133985470869274
0,0,0.23719732920986242
1,1,0.8405905935378256
0,0,0.3941627637064986
0,0,0.17579524315690329
1,1,0.8665615755556356
0,0,0.19329790266451843
0,0,0.3651876402988163
1,1,0.8023821451018395
0,0,0.3484888406699026
1,0,0.21113864500483814
0,1,0.5440782228151987
1,1,0.810035221582308
1,1,0.6222006955479926
0,0,0.464607221554821
0,1,0.5422712076263831
1,1,0.8413658800298703
0,1,0.5707585091437728
0,0,0.4380322378169308
0,0,0.28858726033944054
1,1,0.9686343166495206
0,0,0.3568234755391775
1,1,0.7642498099876687
1,1,0.5645987740330155
1,1,0.7158471991399997
0,0,0.5293607987199335
0,0,0.15641039916379615
0,0,0.5281363646721021
0,0,0.3191752376586457
1,1,0.7960922792480569
0,0,0.31335288939225575
0,0,0.48098834957985537
1,0,0.5185769211502188
0,1,0.581877385307377
0,0,0.19949983565075846
0,0,0.41724492452722217
0,1,0.7436412018764675
1,0,0.298835494953631
0,0,0.27942563878819676
1,0,0.49588114193288446
1,1,0.7574544008457323
0,0,0.5021361002219462
1,1,0.5502378109535606
0,1,0.6766173401952669
0,1,0.5445128285244131
0,0,0.539078107469678
0,0,0.20042492436087342
0,1,0.7433442424879986
1,0,0.3624755380259743
0,0,0.5149619678193446
0,0,0.3278095688044472
0,0,0.3127644211099061
0,0,0.14281588372260406
0,0,0.344958964162391
0,0,0.5352623769052436
1,0,0.41639549838647366
0,0,0.5132922227351636
0,0,0.4512211210671734
0,0,0.5089835193518063
0,0,0.29906664436428865
0,0,0.3197007783377832
0,0,0.4157274753304241
0,0,0.4619469179544237
0,0,0.36050272244603526
0,1,0.5702043151990253
1,1,0.8284498859223993
0,1,0.6600940395871641
0,0,0.34650643742772114
0,0,0.4112069300749784
0,0,0.39851182594534723
0,0,0.3347192806846042
0,1,0.6067790100533028
0,0,0.1446074857148626
0,0,0.4931554260532275
1,1,0.8682749757102005
0,1,0.5718303781588775
0,0,0.47941721440892426
0,0,0.43609006061302386
0,0,0.4030680384981276
0,0,0.20421039104401428
1,0,0.5346310986436091
0,0,0.5405528509030628
0,0,0.30324721206783545
0,0,0.41135653549956797
0,0,0.389228274973974
0,1,0.6034274404202348
1,1,0.8561886530037769
1,1,0.883575325992317
1,1,0.8643510344345237
1,0,0.3277904477243672
0,0,0.4646360799322254
1,1,0.6043770664105359
0,0,0.5085596095091294
0,0,0.4530023047373474
0,0,0.418105871961351
0,0,0.5000741876080184
0,0,0.31180672735888837
0,0,0.24437121330292233
0,0,0.3897225069261078
1,1,0.5973411827356532
0,0,0.392633601696982
0,0,0.5164316302702756
1,0,0.21827793945483348
0,0,0.3344498814391695
1,1,0.7763701132015238
0,0,0.45148199328804106
0,0,0.5026603519265965
0,0,0.04599334747965621
0,1,0.5736131017192742
0,0,0.2823231392504585
0,1,0.5820931421659865
1,1,0.9000458638268596
0,0,0.5397941323868044
0,1,0.8402296099485151
0,0,0.5192734868181809
0,0,0.49177661318033694
0,0,0.4110968711244129
0,1,0.5667176224464464
0,0,0.4321786520976833
1,0,0.3298835444830682
0,0,0.3163927085686233
0,0,0.29196054821150774
0,0,0.5039847910501417
0,1,0.5829253197621797
0,0,0.5107775521605821
0,0,0.5175951435034041
0,0,0.5008054908836593
0,0,0.26989811220054644
0,0,0.3896065942352932
0,0,0.5058573446184265
0,0,0.16606867210713172
1,1,0.5515608458952176
0,0,0.19430783048242276
0,0,0.44360548804988653
0,0,0.3874345266110514
0,0,0.1645432856554175
0,0,0.46598930012976836
0,0,0.35899939184441093
0,1,0.5507056890377661
1,0,0.43041724911011825
1,1,0.7642363216923082
0,1,0.5838444381967729
1,1,0.5473990443858248
0,0,0.43460610478722767
0,0,0.23272362472635758
0,0,0.32960144167467925
0,0,0.05528999686132591
1,1,0.5607402759061952
0,1,0.551756859650416
0,0,0.4448174981746883
0,0,0.3654038642018422
1,0,0.45220462750997953
0,0,0.5171542815133772
0,0,0.433780341873214
0,0,0.4502920373251111
0,0,0.5280562857345368
0,0,0.4190661510752367
0,0,0.5352472133458469
0,1,0.5447837625432279
0,0,0.5276752950354784
0,0,0.48051802279953026
0,0,0.45551688387238226
1,1,0.7301946304805847
1,1,0.6715940235771679
0,0,0.5076513481377146
1,1,0.7112134853416441
0,0,0.47546372971642786
0,0,0.48978243269358995
0,0,0.5321051616996413
0,0,0.32611401928899625
0,0,0.33084295655586005
0,0,0.3965000543665386
0,0,0.36631189037062695
0,1,0.9247366938158723
0,0,0.22293370993567496
0,0,0.18472661939417942
1,0,0.16387032088008713
0,0,0.5061467899018903
1,1,0.8732815950546244
1,1,0.5752828949337248
0,0,0.509517634611325
0,0,0.4985129328687196
0,0,0.5087135827270576
0,1,0.8156160221308589
0,0,0.5147999743425955
1,1,0.8665242378868476
0,0,0.20847520698302865
0,0,0.3697804825190988
0,1,0.6823050422131508
1,0,0.4872923132311609
0,0,0.47460370746796243
0,0,0.4756714718743274
0,0,0.5140699913685356
0,0,0.23175624544964787
0,0,0.43071862210131967
0,0,0.4313234318813649
0,1,0.552983123134936
0,0,0.1602975265725456
0,0,0.1550399894588242
0,1,0.5860195080980888
0,0,0.49201728448896226
0,0,0.472475923999137
0,0,0.43636016003427736
0,1,0.7086413697105394
0,0,0.228916531920389
0,0,0.18479335084805568
0,0,0.40039858280772467
0,0,0.4708187634723397
0,0,0.22673829251593453
0,1,0.7554656682086403
0,1,0.5662864443201939
0,0,0.47338503547441835
0,0,0.37878228701477784
0,0,0.5166102616783121
0,0,0.17203020685545262
0,0,0.4282264249288959
0,1,0.8411315168750904
0,0,0.5157960927931501
0,1,0.5628708976648927
0,1,0.6025980382630118
0,0,0.3821144903702022
0,1,0.564228723848248
0,1,0.7082315009402196
0,0,0.47918232358828805
0,0,0.4458041921674784
1,1,0.5837789339459113
1,1,0.5821671813441559
0,0,0.5341287827623651
0,0,0.39234380547795694
0,0,0.22858759041580187
0,0,0.43647120948483714
1,1,0.7776840614313034
0,0,0.45212502045466657
0,1,0.5440799757527571
0,0,0.48703572922329025
0,0,0.4125951174309015
0,1,0.6078804505453609
0,0,0.2151179458332649
0,1,0.7051499972440738
0,0,0.48302105302691883
0,0,0.5339824434149931
1,1,0.548195633278392
0,1,0.5436719349645986
0,0,0.48931505257648966
0,1,0.63028479080772
0,0,0.320720148737035
1,0,0.3504261849672529
0,1,0.7043923683251885
0,0,0.4275720554908562
0,1,0.5584604255567794
0,0,0.5339859028120147
1,0,0.3741460323818736
1,0,0.49069452328672847
0,1,0.6127545171154756
0,0,0.5298418315379196
0,0,0.4718983758861457
1,1,0.840855841223969
0,0,0.3996364513447795
0,0,0.4746570933585933
0,0,0.46532125127659857
1,1,0.9166120464908494
0,0,0.19845228985503507
0,0,0.35125852869022495
1,0,0.5338582866357668
0,0,0.5076268755166032
0,1,0.7627559323753675
0,0,0.279426535584561
0,0,0.2958688114400607
0,0,0.20879758518811076
0,1,0.580641526113444
0,1,0.7244580449475225
0,0,0.424944879191471
1,1,0.8988976938641582
0,0,0.48704386285454937
1,1,0.5632450208038966
0,0,0.24359591440979328
0,1,0.545246455053234
0,1,0.6128224258787663
0,0,0.3013743435244967
0,1,0.7503908007187761
1,1,0.5797116153654374
0,1,0.6001477448113319
0,0,0.438861793944491
0,0,0.4708425782984609
1,0,0.4563300782850492
0,0,0.44198820155196294
0,0,0.49972944357497096
0,0,0.2172105103256118
0,0,0.36284978832073256
0,0,0.4452041906777384
1,0,0.44157058237624996
1,1,0.7614489961834855
0,0,0.4949096360674036
0,0,0.5086226985228852
0,1,0.577301604209964
0,0,0.3017648188760257
1,1,0.7639373383241687
0,1,0.5643121756208056
0,1,0.5644616875513674
0,0,0.2579735886791705
0,0,0.35021070652417335
0,0,0.48708458431253765
0,1,0.5601273788055976
1,1,0.7728955976633096
0,1,0.5485606159672309
0,1,0.5623956549004107
0,1,0.586020473275948
1,1,0.6649238948691504
0,0,0.4274149603577412
0,0,0.27951271984850423
0,1,0.569325363822035
0,0,0.20964510502918718
0,0,0.30882625459877644
0,0,0.5110019182948198
0,0,0.4127644364758505
0,0,0.5227879681648449
0,1,0.5689237726629082
0,0,0.4519178520389486
0,0,0.4446769208409711
0,0,0.28563863839653186
0,0,0.46347587686421976
0,1,0.7138856135774
0,0,0.28343297452410676
1,1,0.5949885111617148
0,0,0.4555929179033543
0,0,0.22057084468637553
1,1,0.8712893574827403
0,0,0.2920510557130272
1,1,0.7846070890244309
0,1,0.5921263879801745
0,0,0.5036920763061098
1,1,0.5660514784372154
0,0,0.4652043661501337
1,0,0.522258463984399
0,0,0.2868267886254875
1,1,0.5771092488311306
0,0,0.5150182920794315
0,1,0.5633867931125395
0,0,0.5018932696925523
0,0,0.49038106388163427
0,1,0.7065099796016283
1,1,0.6740346847118255
0,0,0.3869243778018357
0,0,0.1774220479960863
0,1,0.9847654838602176
0,1,0.561506564282724
0,0,0.4734231699778361
0,0,0.3440634129358704
1,0,0.3964972768403362
0,0,0.4789702217553869
0,0,0.1559745632868483
0,0,0.5074335114052216
0,0,0.5112210821872636
0,0,0.3808210016076543
1,0,0.2020542696778971
0,0,0.20460134875683406
1,1,0.6720976108760512
1,0,0.5057274255354596
0,1,0.7112901093416567
0,0,0.1878418352271673
1,1,0.7926841274738368
1,1,0.8022394366686207
1,1,0.6244296920885565
0,0,0.3636381831825646
1,0,0.5215152263004278
0,0,0.2830049864702538
0,0,0.5145848511191097
1,0,0.31647067922277444
0,0,0.1809960577763504
0,0,0.37741955550345574
0,0,0.5394332630733019
0,1,0.5785978399350901
0,0,0.39853919829820916
0,1,0.6933806555556681
0,0,0.31165277320601914
0,0,0.5158792681506492
0,1,0.5930790712811305
0,1,0.8329611437095262
0,0,0.22311355494000665
0,1,0.863684492355768
0,0,0.20082817015289173
0,0,0.21708192510635854
1,0,0.32221791482934725
0,0,0.47302239954549624
0,0,0.39495814365657483
0,0,0.30251857674189064
1,0,0.4714931564112283
0,1,0.559635119435643
0,0,0.2781963719841904
1,1,0.6077339272303718
0,0,0.20725671508371543
0,1,0.8162294566389602
0,1,0.6483102399011129
0,0,0.46146269202115114
0,1,0.5414454997794856
0,1,0.659338531473167
0,0,0.45683530355122937
0,1,0.5674486830180206
0,0,0.4990322263105101
0,0,0.5133755580385331
0,0,0.4456590292644621
0,0,0.3673408174233598
0,1,0.5914853037684898
1,0,0.23612922888495202
0,1,0.7385162948232635
1,0,0.26676203292652007
1,1,0.5786250249583003
0,0,0.3433262459206902
0,0,0.33735108864336605
0,1,0.5546823794346355
0,1,0.5511253708043692
0,1,0.5798913925687387
1,1,0.6135127491810373
0,0,0.47998121705906893
0,0,0.5044413306827547
0,0,0.4729001763936505
1,1,0.6626370882361358
0,0,0.47239176903446883
0,0,0.46663454874196725
0,0,0.5003588452172396
0,0,0.3204107925561863
1,1,0.6519533520782631
0,0,0.4264517834001546
0,0,0.49936293759481526
1,1,0.6838691654935399
0,1,0.7803913939906009
0,1,0.564567359258261
0,0,0.1844572548538854
0,0,0.31670221338778676
0,0,0.2082627927016956
0,1,0.5519555160347976
0,0,0.3443578850204942
0,1,0.5479879343037457
0,1,0.784024596443132
1,1,0.75419138728251
0,1,0.5564256285086738
0,0,0.5380864931274758
0,1,0.5659450554092907
0,0,0.39164791019641915
0,0,0.4338508680845968
0,1,0.8346773961743248
0,1,0.5565263798614607
0,0,0.2790705210849453
0,1,0.6085422510458334
0,0,0.37764547453829916
1,0,0.40069852370909514
0,0,0.5162701331301396
0,1,0.5445883895197247
1,0,0.43458763186718197
1,1,0.589537331630619
0,1,0.7354820498423111
1,0,0.37797573098163273
0,0,0.36680196016388206
0,1,0.5787495394487243
1,0,0.4763958084996511
0,0,0.3505399557387241
0,0,0.28050254547612796
1,1,0.6963492632068436
0,0,0.30402955839093904
0,0,0.21250414878650595
1,1,0.7399243340131272
0,1,0.5814969238878566
0,1,0.5511528915210792
0,0,0.536663655377003
0,1,0.6161907216882289
0,0,0.33634696178622214
0,0,0.4550333424774935
0,0,0.4213233042880441
1,1,0.5893759601380009
0,0,0.3316621651874665
0,0,0.3897115243318081
0,0,0.21771909322980892
0,0,0.3291463436334958
0,0,0.5269408985564457
1,1,0.6272328634362587
0,0,0.5352146100380257
0,0,0.42860160992363855
0,0,0.26198354873443475
0,1,0.6068895245148754
0,1,0.5631055728027003
1,0,0.19671953146640647
0,0,0.3966637847524284
1,0,0.3592662638553802
0,0,0.2266676416038535
0,0,0.46629502180692856
0,0,0.34689540719116685
0,0,0.322698378151231
0,0,0.47728864252049696
0,0,0.5079978041087113
0,0,0.39470570811668226
1,1,0.7312913460836955
0,0,0.5157604957111869
0,0,0.510135535759273
1,1,0.787835703148405
0,0,0.22175134584083164
0,1,0.5436704483833399
