default.payment.next.month,actual,predicted,probability
1,1,1,0.62731826
0,0,0,0.18113738
0,0,0,0.109792635
1,1,1,0.7324799
0,0,0,0.23665419
0,0,0,0.086748786
1,1,1,0.70466775
0,0,0,0.11002623
0,0,0,0.19096906
0,0,0,0.1813193
0,0,0,0.062003557
0,0,0,0.07439069
0,0,0,0.08505508
0,0,0,0.40419123
0,0,0,0.08570043
0,0,0,0.17357184
0,0,0,0.11437241
0,0,0,0.039391775
0,0,0,0.07601715
1,1,1,0.7187139
0,0,0,0.04728695
0,0,0,0.10461642
0,0,1,0.686035
0,0,0,0.122384645
0,0,0,0.20817223
0,0,0,0.12491386
0,0,0,0.04925129
1,1,0,0.055011276
1,1,0,0.06777913
1,1,0,0.34283724
0,0,0,0.10475907
0,0,0,0.14572906
0,0,0,0.18832159
0,0,0,0.0479045
1,1,0,0.22736202
0,0,0,0.10620248
0,0,0,0.12326974
1,1,1,0.7018163
1,1,0,0.09380929
0,0,0,0.15276538
1,1,0,0.4227339
0,0,0,0.12650521
0,0,0,0.11978453
0,0,0,0.19087954
1,1,0,0.32285923
0,0,0,0.46573064
1,1,1,0.65550447
0,0,0,0.11136785
0,0,0,0.19244955
0,0,0,0.14898697
1,1,0,0.07814452
0,0,0,0.13802145
0,0,0,0.26254246
0,0,0,0.19151512
1,1,0,0.39321703
1,1,0,0.13667557
0,0,0,0.1055818
0,0,0,0.11273771
1,1,0,0.41678756
1,1,1,0.71946144
1,1,0,0.10203537
0,0,0,0.13254392
1,1,1,0.68687993
0,0,0,0.20548746
0,0,0,0.14332159
0,0,0,0.21548261
0,0,0,0.04343081
0,0,0,0.10325922
1,1,1,0.6720152
1,1,0,0.29821682
1,1,0,0.34026548
0,0,0,0.1894372
0,0,0,0.1221418
0,0,0,0.08946701
0,0,0,0.09547661
0,0,0,0.32761595
0,0,0,0.17204265
0,0,0,0.061789792
1,1,1,0.5627558
0,0,0,0.14429826
0,0,0,0.19245473
0,0,0,0.24360517
1,1,0,0.15510772
0,0,0,0.083900794
0,0,0,0.11592643
0,0,1,0.6739627
0,0,0,0.1410922
0,0,0,0.10745488
0,0,0,0.16239712
1,1,0,0.3143376
1,1,1,0.7312981
0,0,0,0.0766594
0,0,0,0.2555499
0,0,0,0.24561013
0,0,0,0.084757
0,0,0,0.12031272
1,1,0,0.18783914
0,0,0,0.07643499
0,0,0,0.1868718
0,0,0,0.1117491
1,1,1,0.692446
1,1,0,0.09387119
0,0,0,0.13828163
0,0,0,0.057027355
0,0,1,0.7163703
1,1,0,0.23997203
0,0,0,0.2607601
0,0,0,0.14805676
0,0,0,0.10335905
0,0,0,0.09984726
1,1,1,0.7217966
1,1,1,0.6467792
0,0,0,0.10879396
0,0,0,0.0600976
1,1,0,0.08803089
1,1,0,0.16801445
0,0,0,0.116455965
1,1,0,0.17252637
0,0,0,0.3252617
0,0,0,0.06506956
0,0,0,0.0831377
0,0,0,0.06644975
0,0,0,0.16446242
1,1,0,0.107542254
0,0,0,0.09413032
0,0,0,0.06637716
0,0,0,0.10521367
0,0,0,0.14207089
0,0,1,0.77515477
0,0,0,0.08258526
1,1,0,0.27585235
1,1,0,0.1667036
0,0,0,0.15071811
0,0,0,0.08222997
0,0,0,0.0589063
0,0,0,0.08909283
1,1,0,0.22189666
1,1,1,0.5038123
0,0,0,0.19622153
1,1,1,0.822637
0,0,0,0.05185821
0,0,0,0.12328407
0,0,0,0.23177381
0,0,0,0.052564047
1,1,0,0.16508038
0,0,0,0.10048493
0,0,0,0.107488476
0,0,0,0.14765178
0,0,0,0.3230446
0,0,0,0.14261615
0,0,0,0.08130223
0,0,0,0.19714639
0,0,1,0.7550195
0,0,0,0.16220193
0,0,0,0.10883336
0,0,0,0.13738851
0,0,0,0.18435602
1,1,1,0.68891823
0,0,0,0.0939366
0,0,0,0.110994436
0,0,0,0.23230182
0,0,0,0.22934066
1,1,0,0.1470582
0,0,0,0.34112796
0,0,0,0.14932272
1,1,0,0.090667315
0,0,0,0.04784288
0,0,0,0.12632003
0,0,0,0.1547564
0,0,0,0.08733956
1,1,1,0.74066406
0,0,0,0.121490024
1,1,0,0.1108834
0,0,0,0.06071794
0,0,1,0.6392472
1,1,1,0.77438444
0,0,0,0.14359751
0,0,0,0.08379153
